address_id,geocoded_address,lon,lat
4970,424 JEFFERSON AVENUE,-73.94077,40.684345
3640,1217 84TH STREET,-74.01443,40.616272
4971,216 HANCOCK STREET,-73.94745,40.682827
2306,5804 16TH AVENUE,-73.99083,40.62594
3638,86 WHITMAN DRIVE,-73.90389,40.61158
4969,411 THROOP AVENUE,-73.942116,40.68893
2305,1519 39TH STREET,-73.98137,40.637657
3639,102 ST MARKS PLACE,-73.979294,40.68156
2304,2337 85TH STREET,-73.99011,40.600674
2303,1839 84TH STREET,-74.00047,40.60784
2302,8120 19 AVENUE,-73.99766,40.60864
2301,1754 68TH STREET,-73.993004,40.618027
2300,127 MACDONOUGH STREET,-73.94135,40.681293
3630,1245 HERKIMER STREET,-73.91228,40.677605
4961,1138 OCEAN AVENUE,-73.95806,40.634525
3631,1854 PROSPECT PLACE,-73.91535,40.672413
4962,1014 EAST 21ST STREET,-73.955925,40.62879
3632,85 EIGHTH AVENUE,-73.97315,40.67319
4963,1250 76TH STREET,-74.00914,40.62035
3633,353 3 STREET,-73.9838,40.673054
4964,2537 EAST 27TH STREET,-73.942924,40.590546
3634,202 ST. MARKS AVENUE,-73.96964,40.67877
4965,1513 PACIFIC STREET,-73.940865,40.677174
2309,2139 60TH STREET,-73.979774,40.61751
3635,240 PROSPECT PLACE,-73.968414,40.677567
4966,220 AVENUE W,,
2308,1516 46TH STREET,-73.98549,40.633755
3636,4702 BEDFORD AVENUE,-73.9442,40.58701
4967,9921 4 AVENUE,-74.03328,40.61326
2307,870 59TH STREET,-74.00746,40.635166
3637,444 HUMBOLDT STREET,-73.94312,40.71729
4968,217 MAC DONOUGH STREET,,
4980,167 KINGSTON AVENUE,-73.941734,40.674217
3650,1980 73RD STREET,-73.99108,40.612312
4981,1465 STERLING PLACE,-73.93002,40.671432
3651,1289 MYRTLE AVENUE,-73.92699,40.69791
4982,995 WASHINGTON AVENUE,-73.961426,40.665718
2320,272 HIMROD ST,-73.91924,40.700718
2317,253 HENRY STREET,-73.99514,40.69301
3649,440 LEXINGTON AVENUE,-73.9435,40.68853
1,21 CLARK STREET,-73.995384,40.69811
2316,20 PIERREPONT STREET,-73.996346,40.69611
2,16 COURT STREET,-73.99059,40.693394
2315,269 NEPTUNE AVENUE,-73.96336,40.58124
3,20 NORTH 12 STREET,-73.96024,40.723995
2314,130 OCEANA DRIVE WEST,-73.9588,40.576626
4,55 PROSPECT STREET,-73.988174,40.700687
2313,1224 41ST STREET,-73.98904,40.640453
5,90 SANDS STREET,-73.98711,40.69996
2312,1545 47TH STREE,-73.985435,40.632824
6,77 SANDS STREET,,
2311,1717 44TH STREET,-73.979744,40.632126
7,175 PEARL STREET,-73.98779,40.6997
2310,1046 62ND STREET,-74.0053,40.631058
8,117 ADAMS STREET,-73.98869,40.700413
3641,1044 57TH STREET,-74.00238,40.633926
4972,135 WILLOW STREET,-73.995804,40.69738
9,107 COLUMBIA HEIGHTS,-73.99582,40.69937
3642,193 KOSCIUSZKO STREET,-73.946396,40.691204
4973,1522 PITKIN AVENUE,-73.91746,40.668682
3643,1766 78TH STREET,-73.998604,40.612164
4974,926 MOTHER GASTON BLVD,-73.903404,40.65616
3644,632 CENTRAL AVENUE,-73.90825,40.688457
4975,1249 DEKALB AVENUE,-73.92672,40.696693
3645,1562 ST MARKS AVENUE,-73.91546,40.673313
4976,1278 JEFFERSON AVENUE,-73.9123,40.692276
3646,273 MANHATTAN AVENUE,-73.94587,40.713116
4977,37 COVERT STREET,-73.912674,40.685944
