police_precinct,police_precinct_address,police_precinct_zipcode,phone_number
69,9720 Foster Avenue,11236,718-257-6211
72,830 4th Avenue,11232,718-965-6311
78,65 6th Avenue,11217,718-636-6411
66,5822 16th Avenue,11204,718-851-5611 
83,480 Knickerbocker Avenue,11237,718-574-1605
71,421 Empire Boulevard,11225,718-735-0511
68,333 65th Street,11220,718-439-4211 
84,301 Gold Street,11201,718-875-6811
81,30 Ralph Avenue,11221,718-574-0411
88,298 Classon Avenue,11205,718-636-6511
60,2951 West 8th Street,11224,718-946-3311
67,2820 Snyder Avenue,11226,718-287-3211
79,263 Tompkins Avenue,11216,718-636-6611
61,2575 Coney Island,11223,718-627-6611
90,211 Union Avenue,11211,718-963-5311 
62,1925 Bath Avenue,11214,718-236-2611 
76,191 Union Street,11231,718-834-3211 
63,1844 Brooklyn Avenue,11210,718-258-4411 
70,154 Lawrence Avenue,11230,718-851-5511 
73,1470 East New York Avenue,11212,718-495-5411
77,127 Utica Avenue,11213,718-735-0611
75,1000 Sutter Avenue,11208,718-827-3511
94,100 Messerole Avenue,11222,718-383-3879
